Product Name,Price
Xiaomi Redmi Note 12S,"Rs. 74,999"
Vivo Y27,"Rs. 64,999"
Tecno Camon 20 Pro,"Rs. 60,999"
Infinix Note 30,"Rs. 53,999"
Xiaomi Redmi 12,"Rs. 41,999"
Infinix Hot 30,"Rs. 39,999"
Samsung Galaxy A34 256GB,"Rs. 115,000"
Xiaomi Redmi Note 12 256GB,"Rs. 66,999"
Tecno Camon 20 Premier,"Rs. 124,999"
Xiaomi Poco X5 Pro,"Rs. 110,000"
Samsung Galaxy A34,"Rs. 138,999"
Samsung Galaxy A54,"Rs. 140,999"
Honor X6,"Rs. 40,999"
Samsung Galaxy A04 4GB,"Rs. 42,999"
Tecno Pova Neo 2,"Rs. 41,999"
Oppo A17,"Rs. 49,999"
Nokia C31,"Rs. 41,999"
Oppo A17K,"Rs. 45,999"
Sparx Neo 7 Ultra 8GB,"Rs. 38,999"
Sparx Neo 7 Ultra,"Rs. 35,999"
Tecno Spark 10 Pro,"Rs. 39,999"
Vivo Y02t,"Rs. 35,999"
Infinix Hot 30 Play,"Rs. 31,999"
Vivo Y02,"Rs. 31,999"
Sparx Neo 8,"Rs. 29,499"
itel A60s,"Rs. 24,999"
Dcode Cygnal 3 Pro,"Rs. 29,999"
Dcode Cygnal 3,"Rs. 27,999"
Xiaomi Redmi A2 Plus,"Rs. 22,999"
Sparx Neo 7 Plus,"Rs. 26,499"
itel A49 Play,"Rs. 16,999"
Sparx S9,"Rs. 16,999"
Sparx S3,"Rs. 14,999"
Sparx S6,"Rs. 16,499"
Xiaomi Redmi A1 Plus,"Rs. 19,999"
Nokia C21,"Rs. 19,499"
itel 2173,"Rs. 2,300"
itel i9010 4G,"Rs. 4,049"
itel Magic 3,"Rs. 4,599"
itel Power 700,"Rs. 3,699"
itel it9210,"Rs. 5,699"
itel Power700 Core,"Rs. 3,199"
Vivo V29e,"
Expected Price Rs. 85,999 "
Infinix Note 30 VIP,"
Expected Price Rs. 83,999 "
Infinix Hot 30i,"
Expected Price Rs. 48,999 "
Realme C55,"
Expected Price Rs. 54,999 "
Apple iPhone 15,"
Expected Price Rs. 324,999 "
Oppo A58,"
Expected Price Rs. 43,999 "
